,wl,u,g,r,i,z,y
222,522,0.000535,0.57602,0.0025840000000000004,5.999999999999999e-06,0.0,9e-06
223,523,0.000898,0.57203,0.00314,5.999999999999999e-06,0.0,1.8e-05
224,524,0.000302,0.5696840000000001,0.003808,4e-06,0.0,4.6e-05
225,525,0.00021999999999999998,0.569603,0.004602,2.9999999999999997e-06,0.0,5.1000000000000006e-05
226,526,8.3e-05,0.572064,0.005542,2e-06,0.0,4.1e-05
227,527,2.3999999999999997e-05,0.5770810000000001,0.0066749999999999995,2e-06,0.0,4.9e-05
228,528,2.6e-05,0.580263,0.008024,2.9999999999999997e-06,0.0,8.800000000000001e-05
229,529,0.000151,0.582917,0.009693,4e-06,0.0,0.000169
230,530,0.001043,0.583542,0.011763999999999998,7e-06,0.0,0.000172
231,531,0.0012900000000000001,0.584939,0.014434,9e-06,0.0,9.3e-05
232,532,0.000722,0.5879460000000001,0.017967,1.6e-05,0.0,4.2e-05
233,533,0.000684,0.589564,0.022624,5.7999999999999994e-05,0.0,2.8e-05
234,534,0.00031600000000000004,0.590886,0.028865,0.000164,0.0,4.4000000000000006e-05
235,535,4.3e-05,0.589912,0.037012,9.599999999999999e-05,0.0,4.7999999999999994e-05
236,536,7e-06,0.588273,0.047415000000000006,4.7000000000000004e-05,1e-06,4.7999999999999994e-05
237,537,2.9999999999999997e-06,0.584448,0.059984,4.7000000000000004e-05,9e-06,5.9e-05
238,538,2e-06,0.575457,0.07399,6.8e-05,0.00031600000000000004,9.499999999999999e-05
239,539,4e-06,0.561193,0.08823399999999999,0.000123,0.00021600000000000002,0.00017600000000000002
240,540,3e-05,0.541953,0.10081699999999999,0.00028199999999999997,3.1e-05,0.000294
241,541,7.900000000000001e-05,0.521397,0.110694,6e-05,8e-06,0.000212
242,542,2.9999999999999997e-06,0.502566,0.118723,2.3e-05,2.9999999999999997e-06,0.00012200000000000001
243,543,1e-06,0.484591,0.127016,1.9e-05,1e-06,6.4e-05
244,544,0.0,0.467627,0.13841699999999998,4.7000000000000004e-05,1e-06,2.8e-05
245,545,0.0,0.453164,0.155498,0.000243,1e-06,1.8e-05
246,546,0.0,0.439593,0.180311,0.0011740000000000001,1e-06,1.6e-05
247,547,0.0,0.42053199999999996,0.215013,0.000581,2.9999999999999997e-06,1.8e-05
248,548,0.0,0.388968,0.260016,0.000312,2e-06,2.5e-05
249,549,0.0,0.346838,0.31122299999999997,6.9e-05,5e-06,3.4e-05
250,550,0.0,0.302327,0.35776800000000003,2e-05,2.2000000000000003e-05,5e-05
251,551,0.0,0.264532,0.390422,1.4e-05,1.9e-05,0.000103
252,552,0.0,0.236412,0.40796,1.9e-05,4.3e-05,0.00012
253,553,1e-06,0.21596,0.416371,5e-05,6.6e-05,6.6e-05
254,554,0.0,0.19730899999999998,0.42410400000000004,0.00052,0.000149,3.3e-05
255,555,0.0,0.17177900000000002,0.43512900000000004,0.000115,0.0005290000000000001,2.6e-05
256,556,0.0,0.13606,0.45279200000000003,2.7000000000000002e-05,0.000136,3.2e-05
257,557,0.0,0.094927,0.476207,1.3e-05,6.5e-05,1.8e-05
258,558,0.0,0.059269999999999996,0.506876,9e-06,6.3e-05,1.3e-05
259,559,0.0,0.034629,0.541277,8e-06,9.599999999999999e-05,1.4e-05
260,560,5e-06,0.019913,0.57424,1.1000000000000001e-05,0.00012200000000000001,2.1e-05
261,561,0.0,0.011616999999999999,0.597124,2.8999999999999997e-05,8.999999999999999e-05,4.4000000000000006e-05
262,562,0.0,0.0069830000000000005,0.607019,1.3e-05,0.000294,0.00010800000000000001
263,563,0.0,0.004348,0.60802,1.9e-05,9.400000000000001e-05,0.000155
264,564,0.0,0.0028079999999999997,0.606823,5.1000000000000006e-05,0.000123,8.6e-05
265,565,0.0,0.0018729999999999999,0.605013,9.599999999999999e-05,0.000289,4.7999999999999994e-05
266,566,0.0,0.0012920000000000002,0.6053609999999999,7.000000000000001e-05,0.000638,1.9e-05
267,567,0.0,0.0009170000000000001,0.60645,0.000135,0.0014910000000000001,1.1999999999999999e-05
268,568,0.0,0.000667,0.607328,2.6e-05,0.000225,1e-05
269,569,5e-06,0.000496,0.608067,0.000115,0.000118,1.1000000000000001e-05
270,570,3.2e-05,0.000378,0.60972,2.3999999999999997e-05,0.00029,1.1999999999999999e-05
271,571,2.9999999999999997e-06,0.000293,0.612214,9e-06,0.00015,1.3e-05
272,572,2e-06,0.00023,0.61434,5.999999999999999e-06,0.000182,1.8e-05
273,573,2e-06,0.000185,0.6169709999999999,5.999999999999999e-06,0.00023,2.6e-05
274,574,4e-06,0.000149,0.6174240000000001,7e-06,0.000171,2.6e-05
275,575,5e-06,0.00012200000000000001,0.615916,1.1000000000000001e-05,8.800000000000001e-05,2.6e-05
276,576,5e-06,0.0001,0.613201,2.8e-05,7.8e-05,3e-05
277,577,7e-06,8.4e-05,0.611383,6.1000000000000005e-05,0.000137,2.8e-05
278,578,3.7000000000000005e-05,7.000000000000001e-05,0.610156,6.2e-05,0.00043599999999999997,2.7000000000000002e-05
279,579,0.000392,5.9e-05,0.6109,9.400000000000001e-05,0.001596,2.8e-05
280,580,4.1e-05,5e-05,0.614362,2e-05,0.000114,3.6e-05
281,581,6.5e-05,4.2e-05,0.618533,9e-06,0.000886,4.9e-05
282,582,0.000936,3.6e-05,0.623083,5.999999999999999e-06,5.3e-05,6.5e-05
283,583,6.8e-05,3.1e-05,0.625831,9e-06,7.900000000000001e-05,7.6e-05
284,584,2.5e-05,2.6e-05,0.626134,1.9e-05,9.900000000000001e-05,8.3e-05
285,585,9e-06,2.2000000000000003e-05,0.624501,5e-06,9.1e-05,7.900000000000001e-05
286,586,2e-05,1.9e-05,0.622221,2.9999999999999997e-06,0.00018800000000000002,6e-05
287,587,3.7000000000000005e-05,1.6e-05,0.619578,2.9999999999999997e-06,0.000313,3.9e-05
288,588,2.9999999999999997e-06,1.4e-05,0.617876,4e-06,0.000238,2.6e-05
289,589,2e-06,1.1999999999999999e-05,0.618174,5.999999999999999e-06,0.000179,2.1e-05
290,590,2.9999999999999997e-06,1e-05,0.620124,1.5e-05,0.000274,2.1e-05
291,591,4.1e-05,8e-06,0.62324,6.5e-05,0.000201,2.5e-05
292,592,8.2e-05,7e-06,0.626625,2.3e-05,0.00025499999999999996,3.8e-05
293,593,0.0026950000000000003,5.999999999999999e-06,0.629204,4.3e-05,0.000183,6.7e-05
294,594,0.0008100000000000001,5.999999999999999e-06,0.631533,1.5e-05,0.000126,0.000107
295,595,0.001701,5e-06,0.632621,1.6e-05,9.499999999999999e-05,9.900000000000001e-05
296,596,0.000354,4e-06,0.633062,2.3999999999999997e-05,9.1e-05,8.3e-05
